Title,Status,Rating,Seasons,Page
Special OPS,Watched,N/A,N/A,6
The Last of Us,Watched,N/A,N/A,6
Biohackers,Watched,N/A,N/A,6
All of Us Are Dead,Watched,N/A,N/A,6
Alex Rider,Watched,N/A,N/A,7
Halston,Watched,N/A,N/A,7
Feel Good,Watched,N/A,N/A,7
Afsos,Watched,N/A,N/A,7
The Prince,Watched,N/A,N/A,7
Trying,Watched,N/A,N/A,7
Mayor of Kingstown,Watched,N/A,N/A,7
Solar Opposites,Watched,N/A,N/A,7
Ted Lasso,Watched,N/A,N/A,7
To Your Eternity,Watched,N/A,N/A,7
Midnight Mass,Watched,N/A,N/A,7
DAVE,Watched,N/A,N/A,7
Jamtara – Sabka Number Ayega,Watched,N/A,N/A,7
The Forgotten Army,Watched,N/A,N/A,7
High Fidelity,Watched,N/A,N/A,7
The Midnight Gospel,Watched,N/A,N/A,7
Lupin,Watched,N/A,N/A,7
Resident Alien,Watched,N/A,N/A,7
Hostel Daze,Watched,N/A,N/A,7
Don't F**k with Cats: Hunting an Internet Killer,Watched,N/A,N/A,7
JUJUTSU KAISEN,Watched,N/A,N/A,7
The Peripheral,Watched,N/A,N/A,7
Shantaram,Watched,N/A,N/A,7
Reservation Dogs,Watched,N/A,N/A,7
House of the Dragon,Watched,N/A,N/A,8
Giri/Haji,Watched,N/A,N/A,8
Arcane,Watched,N/A,N/A,8
Dorohedoro,Watched,N/A,N/A,8
Swagger,Watched,N/A,N/A,8
The Great,Watched,N/A,N/A,8
Into the Night,Watched,N/A,N/A,8
Foundation,Watched,N/A,N/A,8
Jupiter's Legacy,Watched,N/A,N/A,8
Squid Game,Watched,N/A,N/A,8
The Family Man,Watched,N/A,N/A,8
The Flight Attendant,Watched,N/A,N/A,8
TVF Inmates,Watched,N/A,N/A,8
Criminal: UK,Watched,N/A,N/A,8
Obi-Wan Kenobi,Watched,N/A,N/A,8
She-Hulk: Attorney at Law,Watched,N/A,N/A,8
Ms. Marvel,Watched,N/A,N/A,8
Moon Knight,Watched,N/A,N/A,8
ZeroZeroZero,Watched,N/A,N/A,8
The Spy,Watched,N/A,N/A,8
Modern Love,Watched,N/A,N/A,8
Ragnarok,Watched,N/A,N/A,8
What If...?,Watched,N/A,N/A,8
Typewriter,Watched,N/A,N/A,8
Bard of Blood,Watched,N/A,N/A,9
Station Eleven,Watched,N/A,N/A,9
Wu-Tang: An American Saga,Watched,N/A,N/A,9
The Sandman,Watched,N/A,N/A,9
The Office,Watched,N/A,N/A,9
1899,Watched,N/A,N/A,9
Tokyo Vice,Watched,N/A,N/A,9
The Morning Show,Watched,N/A,N/A,9
White Lines,Watched,N/A,N/A,9
